tribunal_enc,tema_enc,taxa_vitoria_juiz,taxa_vitoria_tribunal,taxa_vitoria_tema,prec_norm,qualidade_provas,segundo_grau,label,numero_processo
0,96,0.8087431693989071,0.6465798045602605,0.7434701492537313,1.0,1,0,1,00002439120208010016
0,717,0.4230769230769231,0.6465798045602605,0.4684431977559607,1.0,1,0,0,00002439220238010014
0,344,0.3770491803278688,0.6465798045602605,0.6033519553072626,1.0,1,0,0,00002440620238010070
0,117,0.8361581920903954,0.6465798045602605,0.6440677966101694,1.0,1,0,1,00002441320238010003
0,22,0.6879699248120301,0.6465798045602605,0.7890127388535032,1.0,1,0,1,00002441520208010004
0,12,0.6428571428571429,0.6465798045602605,0.5714285714285714,1.0,1,0,1,00002442420218010022
0,76,0.5597014925373134,0.6465798045602605,0.5964912280701754,1.0,1,0,1,00002444020248010015
0,26,0.7757009345794392,0.6465798045602605,0.710727969348659,1.0,1,0,1,00002446320218010009
0,38,0.6879699248120301,0.6465798045602605,0.6812227074235808,1.0,1,0,1,00002447820218010004
0,504,0.5531914893617021,0.6465798045602605,0.0,1.0,1,0,0,00002448020238010013
0,20,0.5652173913043478,0.6465798045602605,0.5739130434782609,1.0,1,0,1,00002448420218010002
0,112,0.7941176470588235,0.6465798045602605,0.7875751503006012,1.0,1,0,1,00002448720218010001
0,482,0.5588235294117647,0.6465798045602605,0.75,1.0,1,0,0,00002450520228010012
0,96,0.6428571428571429,0.6465798045602605,0.7434701492537313,1.0,1,0,1,00002450920218010022
0,463,0.3235294117647059,0.6465798045602605,0.5723270440251572,1.0,1,0,0,00002452520228010070
0,22,0.47368421052631576,0.6465798045602605,0.7890127388535032,1.0,1,0,1,00002453320218010014
0,174,0.6428571428571429,0.6465798045602605,0.7131313131313132,1.0,1,0,0,00002453820238010022
0,12,0.7757009345794392,0.6465798045602605,0.5714285714285714,1.0,1,0,1,00002454820218010009
0,15,0.5588235294117647,0.6465798045602605,0.7692307692307693,1.0,1,0,0,00002456820238010012
0,204,0.6842105263157895,0.6465798045602605,0.7769230769230769,1.0,1,0,1,00002457220218010001
0,96,0.7962962962962963,0.6465798045602605,0.7434701492537313,1.0,1,0,1,00002459820238010002
0,344,0.5555555555555556,0.6465798045602605,0.6033519553072626,0.9666666666666667,1,0,1,00002460820228010006
0,463,0.3235294117647059,0.6465798045602605,0.5723270440251572,1.0,1,0,0,00002461020228010070
0,885,0.6428571428571429,0.6465798045602605,0.0,1.0,1,0,0,00002462320238010022
0,492,0.7757009345794392,0.6465798045602605,0.5714285714285714,1.0,1,0,1,00002462820248010009
0,26,0.8087431693989071,0.6465798045602605,0.710727969348659,1.0,1,0,1,00002464120238010016
0,22,0.5597014925373134,0.6465798045602605,0.7890127388535032,1.0,1,0,1,00002464420238010015
0,96,0.8087431693989071,0.6465798045602605,0.7434701492537313,1.0,1,0,1,00002464620208010016
